N ID,Visit name,Quarter ID_original,Combined1,Combined,SCM Type,AID,Type of bacteria,Type of bacteria1,Bacteria_groups,Bacteria_groups_code,Any_pathogen,NAS,Mammaliicoccus,NASM,Gram_neg,Other_bac,Staph_au,Not_iden,Strept,Code for bacterial class,CMT score,Bacterial growth,Quarter ID,QP,QP_RL,QP_FH,T_shape,T_lesion,T_congenital1,AID,AID_original,B_mastitis,Age,Age_code,Breed,Breed1,Breed_Code,BCS,BCS_code,BCS1,A_my,Milk yield_code,L_stage,L_stage code,Pregnancy,Parity,Parity_code,Parity_code1,U_symmetry,U_shape,T_block,T_congenital,T_position,C_hind_quarter,U_dis,H_any_dis,H_lameness,H_cm,H_abort,H_calf_m,FID_original,FID,District,Visit name,F_mastitis,BMSCC,Log10BMSCC,R_system,Rs_code,Month,Season,Education,TN_Buffalo,N_lactating,Breeds,Breed_code,Feeding_S,T_feed,B_source,Wash_buffalo,Control_milk,Wash_udder,Dry_udder,T_dipping,T_hand_milk1,T_hand_milk,Fre_milking,Udder_hygiene,Milker_hygiene,N_milker,Milk_cm_last
1070,Rajshahi,F231A1FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,592,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F231A1FL,FL,Left,Front,3,0,0,592,1,1,6,1,Crossbreed,Crossbreed,2,5,2,0Good,2,0,1.5,0,2,2,2,2,1,3,0,0,2,1,0,0,0,0,0,0,231,194,Rajshahi,Rajshahi,0,"102,000",5.01,Semi-intensive,3,March,1,2,8,2,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,0,0
474,IV-B,F116A3HL,Staphylococcus hyicus ,Staphylococcus hyicus,1,237,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F116A3HL,HL,Left,Hind,2,0,0,237,3,1,5,1,Mediterranean,Crossbreed,2,5,2,0Good,3,1,1.5,0,2,2,2,2,1,3,0,1,2,2,0,0,0,0,0,0,116,81,Mymensingh,IV-B,0,"192,000",5.28,Bathan,0,November,2,0,14,4,Swamp type,2,2,1,0,0,0,0,0,3,1,1,1,4,3,1,0
1218,Noakhali,F258A20FR,Staphylococcus hyicus ,Staphylococcus hyicus,1,675,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F258A20FR,FR,Right,Front,1,0,0,675,20,1,12,3,Indigenous,Indigenous,1,5,2,0Good,2.5,0,6,1,1,2,2,2,1,3,0,0,2,1,0,0,0,0,0,0,258,221,Noakhali,Noakhali,1,"304,000",5.48,Semi-intensive,3,March,1,1,157,35,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,1,0
1235,Noakhali,F258A31FL,Staphylococcus hyicus Staphylococcus chromogenes,Staphylococcus hyicus,1,687,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Double,F258A31FL,FL,Left,Front,1,0,0,687,31,1,7,2,Indigenous,Indigenous,1,5,2,0Good,1,0,5,1,2,2,2,2,1,3,0,0,1,1,0,0,0,0,0,0,258,221,Noakhali,Noakhali,1,"304,000",5.48,Semi-intensive,3,March,1,1,157,35,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,1,0
6,Sandwip,F32A2FL,Staphylococcus chromogenes Staphylococcus hyicus,Staphylococcus hyicus,1,6,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Double,F32A2FL,FL,Left,Front,1,0,0,6,2,1,7,2,Indigenous,Indigenous,1,5,2,0Good,3,1,6,1,1,2,2,2,1,1,0,0,1,2,0,1,0,0,0,0,32,3,Chattogram,Sandwip,1,"307,000",5.49,Bathan,0,February,0,1,25,4,Both,0,1,3,2,0,1,0,0,3,1,1,1,4,3,0,0
1019,Rajshahi,F220A3FL,Staphylococcus chromogenes Rothia nasimurium,Staphylococcus chromogenes,1,563,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Double,F220A3FL,FL,Left,Front,2,0,0,563,3,1,6,1,Crossbreed,Crossbreed,2,5,2,0Good,1.5,0,5,1,2,2,2,2,1,1,0,0,2,2,0,1,1,0,0,0,220,183,Rajshahi,Rajshahi,1,"315,000",5.5,Semi-intensive,3,March,1,2,7,3,River type,1,2,1,2,0,1,0,0,3,1,1,1,4,3,0,0
97,Sandwip,F50A1FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,61,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F50A1FL,FL,Left,Front,3,0,0,61,1,0,5,1,Indigenous,Indigenous,1,5,2,0Good,2,0,9,2,2,2,2,2,1,2,0,0,2,3,0,0,0,0,0,0,50,21,Chattogram,Sandwip,0,"78,000",4.89,Bathan,0,February,0,2,14,3,River type,1,2,1,0,0,0,0,0,3,2,2,1,4,3,0,0
64,Sandwip,F45A2FR,Staphylococcus hyicus ,Staphylococcus hyicus,0,43,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F45A2FR,FR,Right,Front,1,0,0,43,2,1,12,3,Crossbreed,Crossbreed,2,5,2,0Good,2,0,4,1,2,2,2,2,1,2,0,0,1,3,0,0,0,0,0,0,45,16,Chattogram,Sandwip,,,,Bathan,0,February,0,1,15,7,Both,0,2,3,2,0,1,0,0,3,2,2,1,4,2,0,1
100,Sandwip,F50A3HL,Staphylococcus hyicus ,Staphylococcus hyicus,1,63,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F50A3HL,HL,Left,Hind,3,0,0,63,3,1,5,1,Indigenous,Indigenous,1,5,2,0Good,1.5,0,4,1,2,2,2,2,1,1,0,0,3,3,0,0,0,0,0,0,50,21,Chattogram,Sandwip,0,"78,000",4.89,Bathan,0,February,0,2,14,3,River type,1,2,1,0,0,0,0,0,3,2,2,1,4,3,0,0
1312,Noakhali,F268A5HL,Staphylococcus hyicus Staphylococcus chromogenes,Staphylococcus hyicus,1,728,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Double,F268A5HL,HL,Left,Hind,1,0,0,728,5,1,6,1,Indigenous,Indigenous,1,5,2,0Good,2,0,8,2,2,2,2,2,1,3,0,0,1,3,0,1,1,0,0,0,268,231,Noakhali,Noakhali,1,"240,000",5.38,Semi-Bathan,1,April,1,2,32,14,River type,1,1,1,0,0,0,0,0,3,2,2,1,4,3,1,0
1313,Noakhali,F268A5HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,728,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F268A5HR,HR,Right,Hind,1,0,0,728,5,1,6,1,Indigenous,Indigenous,1,5,2,0Good,2,0,8,2,2,2,2,2,1,3,0,0,1,3,0,1,1,0,0,0,268,231,Noakhali,Noakhali,1,"240,000",5.38,Semi-Bathan,1,April,1,2,32,14,River type,1,1,1,0,0,0,0,0,3,2,2,1,4,3,1,0
899,Sylhet,F195A3FL,Staphylococcus hyicus Staphylococcus chromogenes,Staphylococcus hyicus,0,498,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Double,F195A3FL,FL,Left,Front,1,0,0,498,3,1,5,1,Crossbreed,Crossbreed,2,5,2,0Good,3,1,2,0,2,2,2,2,1,3,0,0,,3,0,0,0,0,0,0,195,158,Moulvibazar,Sylhet,0,"70,000",4.85,Semi-Bathan,1,January,0,1,,,Swamp type,2,1,1,3,0,1,0,0,3,4,1,1,4,3,1,0
165,Bhola,F71A3FL,Staphylococcus warneri Bacillus subtilis,Staphylococcus warneri,0,98,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Double,F71A3FL,FL,Left,Front,1,0,0,98,3,0,6,1,Crossbreed,Crossbreed,2,5,2,0Good,3,1,4,1,1,2,2,2,1,3,0,0,2,3,0,0,0,0,0,0,71,40,Bhola,Bhola,0,"196,000",5.29,Bathan,0,March,1,,,,,,1,1,2,0,1,0,0,3,4,1,1,4,3,0,1
1104,Noakhali,F239A2FR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,610,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F239A2FR,FR,Right,Front,1,0,0,610,2,0,7,2,Crossbreed,Crossbreed,2,5,2,0Good,2.125,0,7,2,2,2,2,2,1,3,0,0,1,1,0,0,0,0,0,0,239,202,Noakhali,Noakhali,1,"886,000",5.95,Semi-Bathan,1,March,1,1,49,8,River type,1,2,1,0,0,1,0,0,3,4,1,1,4,3,0,0
454,IV-B,F113A1HR,Staphylococcus hyicus ,Staphylococcus hyicus,0,228,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F113A1HR,HR,Right,Hind,,,,228,1,1,4,0,Crossbreed,Crossbreed,2,5,2,0Good,8,1,0.2,0,2,2,2,2,1,2,0,0,2,3,0,0,0,0,0,0,113,78,Mymensingh,IV-B,0,"36,000",4.56,Semi-intensive,3,November,2,3,37,7,River type,1,0,3,1,1,1,1,1,0,5,1,1,1,1,0,0
451,IV-B,F113A1FL,Staphylococcus epidermidis ,Staphylococcus epidermidis,1,228,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F113A1FL,FL,Left,Front,,,,228,1,1,4,0,Crossbreed,Crossbreed,2,5,2,0Good,8,1,0.2,0,2,2,2,2,1,2,0,0,2,3,0,0,0,0,0,0,113,78,Mymensingh,IV-B,0,"36,000",4.56,Semi-intensive,3,November,2,3,37,7,River type,1,0,3,1,1,1,1,1,0,5,1,1,1,1,0,0
627,Jamalpur,F140A2FR,Staphylococcus hyicus ,Staphylococcus hyicus,0,328,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F140A2FR,FR,Right,Front,1,0,0,328,2,1,6,1,Indigenous,Indigenous,1,5,2,0Good,,,6,1,2,2,2,2,1,3,0,0,1,2,0,0,0,0,0,0,140,104,Jamalpur,Jamalpur,0,"105,000",5.02,Household,2,February,0,2,15,6,,,2,3,2,0,1,0,0,3,6,1,1,4,3,0,0
630,Jamalpur,F140A4FR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,330,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F140A4FR,FR,Right,Front,1,0,0,330,4,1,5,1,Indigenous,Indigenous,1,5,2,0Good,,,7,2,2,2,2,2,1,3,0,0,1,2,0,0,0,0,0,0,140,104,Jamalpur,Jamalpur,0,"105,000",5.02,Household,2,February,0,2,15,6,,,2,3,2,0,1,0,0,3,6,1,1,4,3,0,0
626,Jamalpur,F140A2FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,328,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F140A2FL,FL,Left,Front,1,0,0,328,2,1,6,1,Indigenous,Indigenous,1,5,2,0Good,,,6,1,2,2,2,2,1,3,0,0,1,2,0,0,0,0,0,0,140,104,Jamalpur,Jamalpur,0,"105,000",5.02,Household,2,February,0,2,15,6,,,2,3,2,0,1,0,0,3,6,1,1,4,3,0,0
605,Jamalpur,F136A2FR,Staphylococcus hyicus ,Staphylococcus hyicus,0,314,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F136A2FR,FR,Right,Front,,1,0,314,2,1,7,2,Indigenous,Indigenous,1,5,2,0Good,4,1,5,1,1,3,3,3,1,3,1,0,1,3,1,1,0,0,0,0,136,100,Jamalpur,Jamalpur,0,"178,000",5.25,Semi-intensive,3,December,0,1,41,21,River type,1,2,3,0,0,1,0,0,3,1,1,2,4,3,0,1
1208,Noakhali,F258A11FR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,669,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F258A11FR,FR,Right,Front,1,0,0,669,11,1,8,2,Crossbreed,Crossbreed,2,5,2,0Good,2,0,,,1,3,3,3,1,3,0,0,4,3,0,0,0,0,0,0,258,221,Noakhali,Noakhali,1,"304,000",5.48,Semi-intensive,3,March,1,1,157,35,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,1,0
733,Jamalpur,F157A2FR,Staphylococcus epidermidis Staphylococcus haemolyticus,Staphylococcus haemolyticus,1,392,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Double,F157A2FR,FR,Right,Front,1,0,0,392,2,1,8,2,Indigenous,Indigenous,1,5,2,0Good,,,7,2,2,3,3,3,1,3,0,0,1,3,0,1,0,0,0,0,157,121,Jamalpur,Jamalpur,1,"312,000",5.49,Semi-intensive,3,December,0,1,89,24,Both,0,2,3,0,0,1,0,0,3,1,1,2,,3,1,0
1042,Rajshahi,F226A2FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,578,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F226A2FL,FL,Left,Front,1,0,0,578,2,1,8,2,Crossbreed,Crossbreed,2,5,2,0Good,1,0,6,1,1,3,3,3,1,3,0,0,1,1,0,0,0,0,0,0,226,189,Rajshahi,Rajshahi,1,"318,000",5.5,Semi-intensive,3,March,1,2,10,4,River type,1,2,3,2,0,0,0,0,3,1,1,1,4,3,1,0
1044,Rajshahi,F226A2HL,Staphylococcus chromogenes Staphylococcus epidermidis,Staphylococcus epidermidis,1,578,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Double,F226A2HL,HL,Left,Hind,1,0,0,578,2,1,8,2,Crossbreed,Crossbreed,2,5,2,0Good,1,0,6,1,1,3,3,3,1,3,0,0,1,1,0,0,0,0,0,0,226,189,Rajshahi,Rajshahi,1,"318,000",5.5,Semi-intensive,3,March,1,2,10,4,River type,1,2,3,2,0,0,0,0,3,1,1,1,4,3,1,0
612,Jamalpur,F137A1HL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,318,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F137A1HL,HL,Left,Hind,1,0,0,318,1,1,7,2,Crossbreed,Crossbreed,2,5,2,0Good,4,1,1.5,0,2,3,3,3,1,3,0,0,2,3,0,0,0,0,0,0,137,101,Jamalpur,Jamalpur,1,"444,000",5.65,Household,2,February,0,2,5,3,River type,1,2,3,0,0,1,0,0,3,1,1,2,3,2,1,0
44,Sandwip,F38A1HL,Staphylococcus epidermidis Staphylococcus chromogenes,Staphylococcus epidermidis,0,27,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Double,F38A1HL,HL,Left,Hind,3,0,0,27,1,0,7,2,Crossbreed,Crossbreed,2,5,2,0Good,1.5,0,4,1,2,3,3,3,1,3,0,0,2,3,0,0,0,0,0,0,38,9,Chattogram,Sandwip,1,"529,000",5.72,Semi-Bathan,1,February,0,1,26,4,Both,0,1,1,2,0,1,0,0,3,3,3,1,4,3,1,0
837,Sylhet,F180A2HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,454,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F180A2HR,HR,Right,Hind,1,0,0,454,2,0,10,3,Indigenous,Indigenous,1,5,2,0Good,2,0,3,0,2,3,3,3,1,3,0,0,1,3,0,0,0,0,0,0,180,143,Moulvibazar,Sylhet,0,"72,000",4.86,Semi-Bathan,1,January,0,1,37,,Swamp type,2,1,1,3,1,1,0,0,3,4,1,1,4,3,0,0
846,Sylhet,F182A3HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,461,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F182A3HR,HR,Right,Hind,1,0,0,461,3,0,7,2,Indigenous,Indigenous,1,5,2,0Good,3,1,6,1,1,3,3,3,1,3,0,0,1,3,0,0,0,0,0,0,182,145,Moulvibazar,Sylhet,0,"93,000",4.97,Semi-Bathan,1,January,0,0,41,9,Swamp type,2,1,1,2,0,1,0,0,3,4,1,1,4,3,1,0
826,Sylhet,F178A2HR,Staphylococcus haemolyticus ,Staphylococcus haemolyticus,0,447,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F178A2HR,HR,Right,Hind,1,0,0,447,2,1,14,3,Indigenous,Indigenous,1,5,2,0Good,3,1,8,2,1,3,3,3,1,3,0,0,1,3,0,1,0,0,0,0,178,141,Moulvibazar,Sylhet,0,"128,000",5.11,Semi-Bathan,1,January,0,0,32,7,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
166,Bhola,F71A4HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,99,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F71A4HR,HR,Right,Hind,1,0,0,99,4,0,9,3,Indigenous,Indigenous,1,5,2,0Good,3.5,1,6,1,1,3,3,3,1,2,0,0,1,2,0,0,0,0,0,0,71,40,Bhola,Bhola,0,"196,000",5.29,Bathan,0,March,1,,,,,,1,1,2,0,1,0,0,3,4,1,1,4,3,0,1
825,Sylhet,F178A2FR,Staphylococcus arlettae ,Staphylococcus arlettae,1,447,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F178A2FR,FR,Right,Front,1,0,0,447,2,1,14,3,Indigenous,Indigenous,1,5,2,0Good,3,1,8,2,1,3,3,3,1,3,0,0,1,3,0,1,0,0,0,0,178,141,Moulvibazar,Sylhet,0,"128,000",5.11,Semi-Bathan,1,January,0,0,32,7,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
804,Sylhet,F175A1FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,437,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,4,Single,F175A1FL,FL,Left,Front,1,0,0,437,1,1,9,3,Indigenous,Indigenous,1,5,2,0Good,2,0,4,1,1,3,3,3,1,3,0,0,1,3,0,0,0,0,0,0,175,138,Moulvibazar,Sylhet,0,"142,000",5.15,Semi-Bathan,1,January,0,0,49,17,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
806,Sylhet,F175A1HL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,437,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F175A1HL,HL,Left,Hind,2,0,0,437,1,1,9,3,Indigenous,Indigenous,1,5,2,0Good,2,0,4,1,1,3,3,3,1,3,0,0,1,3,0,0,0,0,0,0,175,138,Moulvibazar,Sylhet,0,"142,000",5.15,Semi-Bathan,1,January,0,0,49,17,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
807,Sylhet,F175A1HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,437,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F175A1HR,HR,Right,Hind,1,0,0,437,1,1,9,3,Indigenous,Indigenous,1,5,2,0Good,2,0,4,1,1,3,3,3,1,3,0,0,1,3,0,0,0,0,0,0,175,138,Moulvibazar,Sylhet,0,"142,000",5.15,Semi-Bathan,1,January,0,0,49,17,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
867,Sylhet,F188A1FR,Staphylococcus pasteuri ,Staphylococcus pasteuri ,0,475,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F188A1FR,FR,Right,Front,1,0,0,475,1,0,8,2,Indigenous,Indigenous,1,5,2,0Good,2,0,1.5,0,2,3,3,3,1,3,0,0,2,3,1,0,0,0,0,0,188,151,Moulvibazar,Sylhet,0,"103,000",5.01,Semi-Bathan,1,January,0,0,,,Swamp type,2,1,1,2,0,0,0,0,3,5,1,1,4,3,0,0
868,Sylhet,F188A2FL,Staphylococcus hyicus ,Staphylococcus hyicus,0,476,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F188A2FL,FL,Left,Front,1,0,0,476,2,0,10,3,Indigenous,Indigenous,1,5,2,0Good,2,0,1,0,1,3,3,3,1,3,0,0,2,3,0,0,0,0,0,0,188,151,Moulvibazar,Sylhet,0,"103,000",5.01,Semi-Bathan,1,January,0,0,,,Swamp type,2,1,1,2,0,0,0,0,3,5,1,1,4,3,0,0
27,Sandwip,F35A1FR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,17,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F35A1FR,FR,Right,Front,1,0,0,17,1,0,7,2,Crossbreed,Crossbreed,2,5,2,0Good,2,0,3.5,1,2,3,3,3,1,3,0,0,2,2,0,0,1,0,0,1,35,6,Chattogram,Sandwip,1,"271,000",5.43,Semi-Bathan,1,February,0,1,19,4,River type,1,1,1,0,0,1,0,0,3,7,1,1,4,2,0,0
134,Sandwip,F60A5FL,Staphylococcus hyicus ,Staphylococcus hyicus,1,84,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,5,Single,F60A5FL,FL,Left,Front,3,0,0,84,5,1,9,3,Indigenous,Indigenous,1,5,2,0Good,2,0,6,1,2,3,3,3,2,2,0,0,2,2,0,0,0,0,1,1,60,29,Chattogram,Sandwip,0,"76,000",4.88,Bathan,0,February,0,1,27,5,River type,1,2,1,2,1,0,0,0,3,7,1,1,3,2,0,0
1214,Noakhali,F258A14HR,Staphylococcus hyicus ,Staphylococcus hyicus,1,672,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,4,Single,F258A14HR,HR,Right,Hind,1,1,0,672,14,1,10,3,Indigenous,Indigenous,1,5,2,0Good,2,0,5,1,1,4,4,4,1,3,0,0,4,3,1,0,0,0,0,0,258,221,Noakhali,Noakhali,1,"304,000",5.48,Semi-intensive,3,March,1,1,157,35,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,1,0
